order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
ORD2018OCT_1,f160aaf480efdfa7268f0fa535f73e76,delivered,2018-10-04 16:00:00,2018-10-04 02:48:08,2018-10-06 16:00:00,2018-10-09 16:00:00,2018-10-17 16:00:00
ORD2018OCT_2,d6708bbbd2d419475869a84e41f620a1,delivered,2018-10-14 19:00:00,2018-10-14 19:39:11,2018-10-16 19:00:00,2018-10-19 19:00:00,2018-10-21 19:00:00
ORD2018OCT_3,1b353c00c71689afba44554e43cc5a76,delivered,2018-10-08 10:00:00,2018-10-08 14:14:33,2018-10-11 10:00:00,2018-10-13 10:00:00,2018-10-22 10:00:00
ORD2018OCT_4,ad66699beab381d0747605f108cc02b4,delivered,2018-10-21 10:00:00,2018-10-21 18:10:19,2018-10-23 10:00:00,2018-10-26 10:00:00,2018-10-29 10:00:00
ORD2018OCT_5,20c678bfce3c8252288f70dd2bee5e51,delivered,2018-10-12 15:00:00,2018-10-12 15:15:14,2018-10-15 15:00:00,2018-10-21 15:00:00,2018-10-24 15:00:00
ORD2018OCT_6,67372e0bce729cebb559886b6c4d9e2e,delivered,2018-10-23 09:00:00,2018-10-23 04:32:58,2018-10-27 09:00:00,2018-10-28 09:00:00,2018-10-31 09:00:00
ORD2018OCT_7,9522d39cabd497bd4bc5fb1b226cd5cf,delivered,2018-10-28 11:00:00,2018-10-28 10:45:24,2018-10-31 11:00:00,2018-11-04 11:00:00,2018-11-10 11:00:00
ORD2018OCT_8,e6dfd24ec0d6e4e7002fa6dca5bf55a0,delivered,2018-10-28 14:00:00,2018-10-28 13:16:00,2018-11-01 14:00:00,2018-11-03 14:00:00,2018-11-08 14:00:00
ORD2018OCT_9,dd22f1d0142d9698c0848674e843525c,delivered,2018-10-23 01:00:00,2018-10-23 06:53:11,2018-10-26 01:00:00,2018-11-02 01:00:00,2018-10-30 01:00:00
ORD2018OCT_10,39bb2424304a318278cf4516500c657c,delivered,2018-10-14 23:00:00,2018-10-14 17:40:42,2018-10-17 23:00:00,2018-10-24 23:00:00,2018-10-23 23:00:00
ORD2018OCT_11,1c141ff3d234a4ea775feaf7d0024a59,delivered,2018-10-26 04:00:00,2018-10-26 15:56:28,2018-10-28 04:00:00,2018-11-03 04:00:00,2018-11-05 04:00:00
ORD2018OCT_12,2110656d0356c5d1d3c7f1c7bce0e319,delivered,2018-10-14 08:00:00,2018-10-14 17:13:24,2018-10-16 08:00:00,2018-10-24 08:00:00,2018-10-25 08:00:00
ORD2018OCT_13,a539b9d6f9045415d847df7fd525d2bd,delivered,2018-10-11 06:00:00,2018-10-11 13:02:45,2018-10-13 06:00:00,2018-10-17 06:00:00,2018-10-21 06:00:00
ORD2018OCT_14,fd5ddf911dca5e102a4856a2ace88a09,delivered,2018-10-20 00:00:00,2018-10-20 12:31:20,2018-10-22 00:00:00,2018-10-28 00:00:00,2018-10-30 00:00:00
ORD2018OCT_15,9d20953453325b0f8badf470f570f98c,delivered,2018-10-10 06:00:00,2018-10-10 04:23:27,2018-10-13 06:00:00,2018-10-16 06:00:00,2018-10-23 06:00:00
ORD2018OCT_16,ffed5d4f6245fe13cd57054621eec36a,delivered,2018-10-29 03:00:00,2018-10-29 17:37:29,2018-10-31 03:00:00,2018-11-07 03:00:00,2018-11-08 03:00:00
ORD2018OCT_17,606526aa253b452a350ce935064f6418,delivered,2018-10-18 15:00:00,2018-10-18 13:54:46,2018-10-20 15:00:00,2018-10-23 15:00:00,2018-10-25 15:00:00
ORD2018OCT_18,54c424fd34699c65ea6d0c12a80e4a72,delivered,2018-10-30 13:00:00,2018-10-30 11:29:48,2018-11-01 13:00:00,2018-11-07 13:00:00,2018-11-13 13:00:00
ORD2018OCT_19,ceec04c1f9846950a467eee17ccdfb85,delivered,2018-10-19 21:00:00,2018-10-19 16:48:25,2018-10-21 21:00:00,2018-10-26 21:00:00,2018-10-27 21:00:00
ORD2018OCT_20,6d03d9c7d95db6de5b59aa4d7218ec07,delivered,2018-10-08 21:00:00,2018-10-08 06:36:03,2018-10-10 21:00:00,2018-10-18 21:00:00,2018-10-15 21:00:00
ORD2018OCT_21,66538c9da66571088de88815faa7ee9a,delivered,2018-10-25 12:00:00,2018-10-25 18:26:05,2018-10-28 12:00:00,2018-11-02 12:00:00,2018-11-05 12:00:00
ORD2018OCT_22,067715fac053f8972e3887e3784e38f4,delivered,2018-10-12 00:00:00,2018-10-12 20:03:10,2018-10-16 00:00:00,2018-10-17 00:00:00,2018-10-26 00:00:00
ORD2018OCT_23,70f455685561519d6a7770423cbb01ee,delivered,2018-10-03 05:00:00,2018-10-03 15:57:26,2018-10-05 05:00:00,2018-10-10 05:00:00,2018-10-11 05:00:00
ORD2018OCT_24,c1ba054116e13a367a09a45be363525c,delivered,2018-10-17 00:00:00,2018-10-17 10:12:55,2018-10-19 00:00:00,2018-10-24 00:00:00,2018-10-27 00:00:00
ORD2018OCT_25,c68f1a0b156eeb49b2b3168e4ab55681,delivered,2018-10-20 03:00:00,2018-10-20 19:44:53,2018-10-24 03:00:00,2018-10-29 03:00:00,2018-11-02 03:00:00
ORD2018OCT_26,4d575680ce2505bef7485ecf1badf1d6,delivered,2018-10-25 07:00:00,2018-10-25 17:14:08,2018-10-27 07:00:00,2018-10-31 07:00:00,2018-11-03 07:00:00
ORD2018OCT_27,77dc1be4c4766a308f7c7516b732a825,delivered,2018-10-20 16:00:00,2018-10-20 01:44:53,2018-10-22 16:00:00,2018-10-28 16:00:00,2018-11-01 16:00:00
ORD2018OCT_28,33a3023585bff9c06044bdcd92c95b4b,delivered,2018-10-26 08:00:00,2018-10-26 04:25:21,2018-10-29 08:00:00,2018-11-05 08:00:00,2018-11-04 08:00:00
ORD2018OCT_29,226236428096449139ada8b6e6bf4136,delivered,2018-10-12 21:00:00,2018-10-12 03:12:22,2018-10-14 21:00:00,2018-10-19 21:00:00,2018-10-25 21:00:00
ORD2018OCT_30,1bb2273c4c26af24561221cfc4fbd7f1,delivered,2018-10-11 19:00:00,2018-10-11 18:52:29,2018-10-14 19:00:00,2018-10-16 19:00:00,2018-10-18 19:00:00
