order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
ORD2018OCT_1210,1,69455f41626a745aea9ee9164cb9eafd,7d13fca15225358621be4086e1eb0964,2018-06-19 09:18:15,180.0,20.45
ORD2018OCT_8842,1,af35be35db4ad0dc288b571453337376,d20b021d3efdf267a402c402a48ea64b,2017-03-09 14:35:09,10.99,16.05
ORD2018OCT_6982,1,12e6d0f655986ceff00c74658dec97b1,3be634553519fb6536a03e1358e9fdc7,2018-06-06 17:18:09,49.99,8.88
ORD2018OCT_8043,1,a50acd33ba7a8da8e9db65094fa990a4,8581055ce74af1daba164fdbd55a40de,2017-05-18 08:02:19,117.3,14.43
ORD2018OCT_1633,1,5cca3efb9521cc1d7099d610d4a12017,3d871de0142ce09b7081e2b9d1733cb1,2018-05-03 18:15:09,58.9,13.77
ORD2018OCT_6851,1,7501e40e8bc7a7db7c2f4b005e1dddcb,974cf2cb8f4b7add98709c30df02fe10,2018-02-08 19:28:55,79.99,17.81
ORD2018OCT_6624,1,228f57b1acb5bdce9401c58653c8cc14,7e93a43ef30c4f03f38b393420bc753a,2017-10-06 18:14:22,169.99,17.76
ORD2018OCT_2627,2,e4ca5b20cfe1a020e15e36fe14e880ee,128639473a139ac0f3e5f5ade55873a5,2018-01-05 15:09:19,19.9,15.1
ORD2018OCT_4578,1,f4f4debbcfcafe6858d1e37a1f6e436e,7c67e1448b00f6e969d365cea6b010ab,2017-10-23 14:05:02,159.94,41.11
ORD2018OCT_4161,1,d322eb25f02924adba73e58dbc36b29c,4869f7a5dfa277a7dca6462dcf3b52b2,2018-06-14 10:55:21,223.0,19.44
ORD2018OCT_433,1,c741b4e884aadcb383abe964529d76ce,093805f8f2aeb63881444571e1f48f30,2018-01-15 07:22:49,29.9,8.72
ORD2018OCT_8453,1,d04857e7b4b708ee8b8b9921163edba3,9f505651f4a6abe901a56cdc21508025,2018-06-13 11:15:40,67.99,8.88
ORD2018OCT_30,1,776ef0ee36e20757c513e64903f1fa8a,70a12e78e608ac31179aea7f8422044b,2017-09-15 11:45:12,98.0,29.09
ORD2018OCT_3766,1,64d33e6bd1b905a31c2f96f584e6a0c8,ea8482cd71df3c1969d7b9473ff13abc,2018-03-08 12:30:56,29.99,7.78
ORD2018OCT_1692,1,5b59b0c94f8e31d14fe89dbbfda3df6c,dd2bdf855a9172734fbc3744021ae9b9,2018-01-16 08:57:24,69.9,14.22
ORD2018OCT_4627,1,8fa15c06c596b8e4c43a9ff94ed8b410,17ca9b9e9b9ef8fdb529001b49ebb50f,2018-05-10 01:30:26,89.97,15.51
ORD2018OCT_7884,1,ec16be6dfd2b67c4f576d7c7ccda1358,f9244d45189d3a3605499abddeade7d5,2018-04-04 22:08:04,99.99,27.46
ORD2018OCT_2628,1,fb6782985a98aa8a59238f58239f6f1e,955fee9216a65b617aa5c0531780ce60,2017-07-31 06:43:10,79.99,16.81
ORD2018OCT_7508,1,017692475c1c954ff597feda05131d73,3c7c4a49ec3c6550809089c6a2ca9370,2018-03-04 23:10:24,13.99,14.1
ORD2018OCT_552,1,e59dd207c69d86e890febadc796d1078,e9bc59e7b60fc3063eb2290deda4cced,2018-08-13 01:10:08,125.0,14.22
ORD2018OCT_5911,1,629e019a6f298a83aeecc7877964f935,c003204e1ab016dfa150abc119207b24,2018-03-01 18:30:41,119.9,25.68
ORD2018OCT_6892,1,86f2416d4670e4ea3ca5494d043d9f24,7c67e1448b00f6e969d365cea6b010ab,2017-07-27 14:45:26,159.94,19.84
ORD2018OCT_9857,1,b0075cdedc8e455d734e6b1875336ca1,0ea22c1cfbdc755f86b9b54b39c16043,2017-12-28 23:08:39,29.9,51.48
ORD2018OCT_3856,1,aa5d6a9bd4be367ae1a3a29c323c7c11,e9779976487b77c6d4ac45f75ec7afe9,2018-06-11 12:30:25,130.0,37.6
ORD2018OCT_4375,1,060c17562f97e5bb60bc0dfa4dd5b3f2,9f505651f4a6abe901a56cdc21508025,2018-07-24 16:55:21,24.99,15.28
ORD2018OCT_4236,1,68db47d312d0b87e469762f0481d3b9c,f8db351d8c4c4c22c6835c19a46f01b0,2017-05-24 06:35:16,179.9,70.14
ORD2018OCT_6599,1,52c80cedd4e90108bf4fa6a206ef6b03,a1043bafd471dff536d0c462352beb48,2017-12-29 17:49:13,179.99,45.72
ORD2018OCT_6554,1,e0b6956a1860dc425aab39707b0044af,c8b0e2b0a7095e5d8219575d5e7e1181,2018-04-02 21:35:20,107.99,14.85
ORD2018OCT_6219,1,98190f6a2c3253d07ca86525bb238162,dbd66278cbfe1aa1000f90a217ca4695,2018-04-19 19:35:24,72.0,21.58
ORD2018OCT_5661,1,990d135e28e075648cb7d83198fdccf4,d9bd94811c3338dceb4181f3dbc0c73e,2018-07-11 09:31:37,80.38,8.72
ORD2018OCT_6079,1,d8a77723111124b921fd73b3914e8cbb,0241d4d5d36f10f80c644447315af0bd,2017-11-30 20:31:35,29.9,17.92
ORD2018OCT_3033,1,83e5adb51c0d54eff80057f064f808d2,e8b3a3a38279a82f0e5d006d5e5b7d2c,2018-02-07 18:59:02,154.9,14.81
ORD2018OCT_9865,1,ddceb6eef6af67e9fbbd4c148dbe5fd9,ceaec5548eefc6e23e6607c5435102e7,2018-06-06 16:51:46,209.99,29.73
ORD2018OCT_9412,1,c73628b1c3144b2e0c9c88072f21a213,3f995f07c49d0d55a99d5c54957f7d81,2017-07-14 18:10:12,99.0,13.71
ORD2018OCT_703,1,1b3c5b1455f3e42d831fb778055c9e45,17e34d8224d27a541263c4c64b11a56b,2017-08-08 09:03:22,355.9,18.25
ORD2018OCT_2200,1,086351823300e0339f6955b27998c186,33a6f4b1e7cdc205511e76ba1b6e0186,2018-02-15 18:50:12,115.0,14.56
ORD2018OCT_5329,1,8c591ab0ca519558779df02023177f44,a1043bafd471dff536d0c462352beb48,2018-04-26 02:31:52,110.0,62.44
ORD2018OCT_1952,1,f75b94ae22e65bec6b67d9652ef8387c,9f505651f4a6abe901a56cdc21508025,2018-02-15 14:32:13,34.99,14.1
ORD2018OCT_643,1,dd60cac04e6bcbc919cb1c7dcc473211,febab0275244b9a49a623f0bd613ca2f,2017-11-23 03:35:34,29.9,15.11
ORD2018OCT_6483,1,5a848e4ab52fd5445cdc07aab1c40e48,c826c40d7b19f62a09e2d7c5e7295ee2,2018-03-01 02:10:46,122.99,14.61
ORD2018OCT_6954,1,6b5170a2d3ae93a38e63f17b356da239,3be634553519fb6536a03e1358e9fdc7,2018-08-27 11:04:38,33.99,11.26
ORD2018OCT_9902,1,ad47aff134f11264c92d7ff1299163b1,3935fe5fe0f82787a9dcb8deb62be09d,2018-04-23 12:29:53,92.5,34.19
ORD2018OCT_1541,1,5c9ef6c35fdbad9275157b1929c37fb0,c1d1ebb4745cc43cb6f05e9c8a705c9a,2017-04-26 21:01:54,12.5,19.21
ORD2018OCT_456,1,c211ff3068fcd2f8898192976d8b3a32,da8622b14eb17ae2831f4ac5b9dab84a,2017-12-29 21:30:21,24.9,9.09
ORD2018OCT_715,2,88dd63919fc9ab693803578a04a20209,7ddcbb64b5bc1ef36ca8c151f6ec77df,2017-09-20 12:05:10,39.99,14.1
ORD2018OCT_8242,1,810e2944bca9850b934e1570ba372e7d,1025f0e2d44d7041d6cf58b6550e0bfa,2018-08-16 02:50:25,78.0,22.09
ORD2018OCT_9718,1,1e1a186a03f0d98268516827690d4fd2,a420f60ff1aa9acc80d0e42959f2b313,2018-03-07 11:31:12,74.0,7.78
ORD2018OCT_1608,1,39af958c865cffb372490d50c207d776,da8622b14eb17ae2831f4ac5b9dab84a,2018-08-24 14:30:33,239.9,32.55
ORD2018OCT_9935,1,35afc973633aaeb6b877ff57b2793310,4a3ca9315b744ce9f8e9374361493884,2017-11-29 16:08:34,89.9,13.65
ORD2018OCT_7220,1,95ae4833a7cd4f9f7f90c3b77a993c1b,1025f0e2d44d7041d6cf58b6550e0bfa,2017-12-01 02:31:48,69.99,19.09
ORD2018OCT_8885,1,4abef02c9dfc89006cb3d501d1f291c1,d98eec89afa3380e14463da2aabaea72,2017-02-18 12:20:37,50.0,14.52
ORD2018OCT_8125,1,feb18700015c20ef4ca5098a6288f6f7,17a053fcb14bd219540cbde0df490be0,2018-07-04 15:11:45,189.9,90.0
ORD2018OCT_9799,1,74291f20821eae2aacb949b41622ef52,620c87c171fb2a6dd6e8bb4dec959fc6,2018-04-23 22:15:22,239.9,23.39
ORD2018OCT_9412,1,cad2db5e318d7283a234c517b2f28a42,8160255418d5aaa7dbdc9f4c64ebda44,2017-11-28 15:48:20,105.9,16.5
ORD2018OCT_6271,1,a6ad77b15e566298a4e8ee2011ab1255,1025f0e2d44d7041d6cf58b6550e0bfa,2018-06-20 21:01:22,27.0,17.99
ORD2018OCT_8847,1,759c85bda80286f647f1f71b847c6457,f8db351d8c4c4c22c6835c19a46f01b0,2018-04-12 19:09:17,33.9,18.23
ORD2018OCT_5607,1,b09790edda54333116f9cf1decc580a1,d2374cbcbb3ca4ab1086534108cc3ab7,2017-04-12 01:45:10,24.9,10.96
ORD2018OCT_6584,1,362b773250263786dd58670d2df42c3b,4c2b230173bb36f9b240f2b8ac11786e,2017-10-18 04:26:36,49.9,14.1
ORD2018OCT_4455,1,8cefe1c6f2304e7e6825150218ffc58c,ea8482cd71df3c1969d7b9473ff13abc,2018-03-29 07:35:35,27.99,22.85
ORD2018OCT_974,1,2b7aa376a6e728560bddb5558cc48e89,7c67e1448b00f6e969d365cea6b010ab,2018-03-30 03:30:59,116.99,7.68
ORD2018OCT_2468,1,3bf87d2001b8176e6a3ad804b80774b4,7c67e1448b00f6e969d365cea6b010ab,2018-04-16 00:30:00,192.99,64.67
ORD2018OCT_5465,1,229c012e97328ba74fd0f4a1c29f8e51,8cc6a0e5738e61a87b03c78b2ba9db4b,2017-03-30 15:15:11,739.9,21.92
ORD2018OCT_949,1,2b4609f8948be18874494203496bc318,cc419e0650a3c5ba77189a1882b7556a,2017-10-17 22:49:24,89.99,16.39
ORD2018OCT_621,1,ca33dbc1342572c1aa64e74fb42bab4a,e5475dcab1e07b63d7f6e902d8f5eda8,2018-02-12 04:31:46,28.0,8.72
