review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
406e32984dd5273582105460a79571af,ORD2018OCT_4738,5,,,2018-10-07 00:00:00,2017-12-22 21:10:19
3bca8d9922bed47eb96f23d121945290,ORD2018OCT_3280,5,,Cumpriu o acordado!,2018-10-05 00:00:00,2018-04-13 01:57:05
65895b807ac5dfe062c82400b3f210b8,ORD2018OCT_3467,4,,,2018-10-30 10:00:00,2017-04-21 11:31:32
2a6faa65a6e893105c60b1018d40e14a,ORD2018OCT_8147,5,,,2018-10-25 23:00:00,2018-04-07 00:34:14
a738aa683a09dc5979abc7d9c2cc8029,ORD2018OCT_7245,5,,,2018-10-06 08:00:00,2018-01-08 13:48:20
3848b75c5bfe221557d5a85708d9c906,ORD2018OCT_508,1,,"Meu produto não foi entregue, sem me da nenhuma informação. Cancelaram meu pedido sem me informar de nada.Nao gostei",2018-10-17 20:00:00,2017-04-09 10:12:21
c6d0849be662cd05ce34e0f885ac7135,ORD2018OCT_5571,5,,,2018-10-03 12:00:00,2017-09-25 18:42:03
755df8bd9de2206b647e2b1f64be8d13,ORD2018OCT_1752,5,,material excelente alticima qulidade otimo,2018-10-15 22:00:00,2017-07-20 10:57:59
6bd75b3bd8efb88e88d205c1add1f51e,ORD2018OCT_9751,3,parcial,Entregas separadas...ainda não chegou todo o pedido,2018-10-21 15:00:00,2018-06-04 10:14:58
dec5976bdb0c01b5ee70db58841558b4,ORD2018OCT_9904,5,,,2018-10-15 06:00:00,2018-06-28 10:21:21
18f6814cf582ad4d011cdc33bf0ed162,ORD2018OCT_2445,1,,,2018-10-07 05:00:00,2017-06-29 23:17:10
1aaccb84a4591894bdc40d72bb30880b,ORD2018OCT_9772,5,,"Veio tranquilo, dentro do prazo. Recomendo",2018-10-10 10:00:00,2018-03-01 14:55:39
4191f889dcecfb068552ca5299e7e94b,ORD2018OCT_1759,5,,,2018-10-08 14:00:00,2017-08-12 02:34:34
b99f5a43fc7f3cac834bf173108785f6,ORD2018OCT_5510,5,,,2018-10-14 18:00:00,2018-09-24 12:37:48
96944132792714de91e891abb833f362,ORD2018OCT_1194,4,,,2018-10-09 05:00:00,2018-01-15 12:32:48
60afe2ce881d803e1240f8f80feefab7,ORD2018OCT_6681,5,,...,2018-10-23 13:00:00,2018-04-09 23:30:38
ed926cb1605cf4e673122f8da5b661a6,ORD2018OCT_2613,5,,EXCELENTE!!!,2018-10-28 04:00:00,2017-07-18 12:52:53
e3667f4ac92a9eef76efb807859e8d2f,ORD2018OCT_207,5,,gostei muito de compra nessa loja recomendo com certa..,2018-10-21 21:00:00,2017-10-10 21:08:21
297851a8a2a2b784b9bcadac512ecc99,ORD2018OCT_5091,5,,Recebi o produto antes do prazo de entrega e em perfeitas condições. ,2018-10-14 12:00:00,2018-04-24 21:22:55
ef2ae354ddc887baeb9f400ac05f260f,ORD2018OCT_4860,5,,,2018-10-30 22:00:00,2018-03-16 13:13:19
1a6210951d47ea8df2b638a86e8cb662,ORD2018OCT_8905,5,,sem comentarios lannister uma das melhores lojas da internet,2018-10-23 00:00:00,2017-08-30 01:12:47
344872ed2060e50fad79795b9f2bba9b,ORD2018OCT_4827,5,Otimo,Otimo,2018-10-05 08:00:00,2018-05-01 02:18:13
3866408599a9dec6a8b24370fbc9c98d,ORD2018OCT_8562,5,,,2018-10-04 00:00:00,2017-09-23 20:44:28
fccb4d15aa534f8c4afe0f77f8f25629,ORD2018OCT_9033,5,,,2018-10-10 05:00:00,2017-09-23 18:32:24
a1721ddf023856136fe88060f37c3f0e,ORD2018OCT_937,2,,,2018-10-27 21:00:00,2018-03-11 21:00:11
b57d7ab8c266fd1a8a4be3e07c410633,ORD2018OCT_5347,5,Super recomendo,"Excelente serviço! Recomendo!
",2018-10-24 05:00:00,2018-06-14 20:31:56
2b77305b6ad3a4e1441edd1ce92a7092,ORD2018OCT_7445,1,,"Até momento, não recebi informações de produto.
",2018-10-28 09:00:00,2018-01-24 21:27:50
7cf91d37c4b71dcb2fcd2c8e93ec6a53,ORD2018OCT_3343,5,,,2018-10-12 17:00:00,2017-12-22 20:11:55
fd173102a696ddc1fa90fd738ec7b5bf,ORD2018OCT_5392,4,,,2018-10-20 13:00:00,2018-06-27 21:58:51
7fb55cf4e12cdf1c196908443a867d44,ORD2018OCT_3047,5,,,2018-10-29 05:00:00,2017-09-13 14:45:42
38a3033c2b361c31d91d04d30073354e,ORD2018OCT_7620,5,,,2018-10-18 18:00:00,2018-01-02 09:17:42
59f32497d2653db9469411b48d4a62c3,ORD2018OCT_8937,4,,,2018-10-21 17:00:00,2018-04-19 16:44:48
40bb722a8b4a84fae3d5d45dfe0fa631,ORD2018OCT_1456,5,,,2018-10-26 00:00:00,2017-12-18 11:23:11
ccf8cb02ddcb90621b138b839a7a131a,ORD2018OCT_6135,4,,,2018-10-30 15:00:00,2017-07-30 17:10:31
dcf4db11d7d71563687e32adafa99632,ORD2018OCT_3302,5,,,2018-10-27 19:00:00,2017-09-23 10:19:15
3d2eb84738ec67cee204e322b2294ab5,ORD2018OCT_3016,1,,"Quero cancelar esta compra, pois já passou do prazo.",2018-10-04 12:00:00,2018-03-21 14:35:43
01537f6340f89ed116e46b4a4f88204f,ORD2018OCT_9627,5,,"Produto de boa qualidade, loja cumpriu o prazo.. recomendo ",2018-10-26 23:00:00,2018-04-10 21:48:50
966f6cfaa586d5f69bd81911ea671d5e,ORD2018OCT_7679,1,,todos os outros produtos foram entregues no prazo. Porém esse está em atraso e tenho evento no dia 25/04 e estou contando com o material,2018-10-14 05:00:00,2018-04-18 12:32:36
4c6fecfa493344fa59d27a8cd78ee145,ORD2018OCT_7174,2,,,2018-10-13 04:00:00,2017-12-19 08:40:41
04323bc37f851b35eacd18ae256bf98c,ORD2018OCT_7701,1,,O teclado não foi entregue ainda ,2018-10-23 22:00:00,2017-04-20 23:36:41
e5571c711e60f385819dbe777d237655,ORD2018OCT_3118,5,,,2018-10-07 11:00:00,2018-04-03 13:35:02
705cae4a8ed5d74f53ec38e3ea115c17,ORD2018OCT_9901,5,,,2018-10-12 11:00:00,2018-07-24 00:51:53
